id,feature_name,regression_id,marginal_sharpe,marginal_rank_ic,marginal_excess_return,feature_importance_pct,rank_ic_p_value,sharpe_p_value,is_significant,step_number,total_features_at_step,created_at
53,bollinger,reg_20260315_152332_a41646df,0.6412505623062086,0.05755691513073058,0.23626440635485846,0.21907505241090147,2.4052617114829206e-88,3.4042977193230545e-12,1,4,21,2026-03-15T15:37:41.864249
52,macd,reg_20260315_152332_a41646df,0.15298523128648994,0.008635672729839616,0.04511882292304503,0.10374549266247379,1.9410378316993942e-08,2.2698425303154282e-05,1,3,16,2026-03-15T15:34:41.935765
55,adx,reg_20260315_152332_a41646df,0.07789991703445653,-0.0005079968441513705,0.025397636823893066,0.021036058700209644,0.5319190226470161,0.0008160876654364472,0,6,25,2026-03-15T15:43:51.304806
57,gap,reg_20260315_152332_a41646df,0.021546151524678647,-0.0005561347802484073,0.007989560333266033,0.01769433962264151,0.4647742546395437,0.12156977601871512,0,8,31,2026-03-15T15:50:32.414338
50,valuation,reg_20260315_152332_a41646df,0.0,0.0,0.0,0.0,,,0,1,12,2026-03-15T15:28:58.390933
60,sentiment,reg_20260315_152332_a41646df,0.0,0.0,0.0,0.0,,,0,11,39,2026-03-15T16:01:52.378413
54,atr,reg_20260315_152332_a41646df,-0.031327575493037774,0.0001330774622011477,-0.012289077257916725,0.045161844863731655,0.8976954693458915,0.4346362934851985,0,5,22,2026-03-15T15:40:42.803871
59,mean_reversion,reg_20260315_152332_a41646df,-0.05232135016957895,-0.0005730844280729119,-0.01777959378427907,0.009665828092243187,0.37757469023126605,9.952531568796648e-05,0,10,39,2026-03-15T15:58:02.206988
56,obv,reg_20260315_152332_a41646df,-0.17973571574358838,0.05082219051175979,-0.06073227327046937,0.15498490566037737,4.155075221591003e-56,0.010704957958909989,1,7,27,2026-03-15T15:47:06.617392
58,momentum,reg_20260315_152332_a41646df,-0.23974198587764384,-0.005701290499242062,-0.08189635437281173,0.2514352201257861,0.00025129022393495824,7.963776614844341e-10,1,9,36,2026-03-15T15:54:13.003057
51,rsi,reg_20260315_152332_a41646df,-0.27947559687707585,-0.002716665624665715,-0.09460105557265308,0.028947169811320755,0.00513007486842927,1.0123481420778065e-20,1,2,13,2026-03-15T15:31:49.917321
