step,feature_added,sharpe_ratio,mean_rank_ic,excess_return,max_drawdown,hit_rate,turnover,marginal_sharpe,marginal_rank_ic,duration_seconds,ic_std,ic_ir,ic_pct_positive,sortino_ratio,calmar_ratio,train_test_sharpe_ratio,volatility,total_return,annualized_return
0,BASELINE,0.7779877467456165,0.4148850851778892,0.1250577116843008,-0.7207908297471516,0.5196850393700787,0.17122340311487796,,,163.7385549545288,0.2116162045481558,1.8633573775318701,0.9660377358490566,1.0863000783174475,0.42390423011557066,45.79414872455581,0.3927391954904863,3.3844176944003355,0.30554628175832965
1,valuation,0.7779877467456165,0.4148850851778892,0.1250577116843008,-0.7207908297471516,0.5196850393700787,0.17122340311487796,0.0,0.0,161.94705510139465,0.2116162045481558,1.8633573775318701,0.9660377358490566,1.0863000783174475,0.42390423011557066,45.79414872455581,0.3927391954904863,3.3844176944003355,0.30554628175832965
2,rsi,0.4985121498685407,0.4121684195532235,0.030456656111647717,-0.7447716399073174,0.5075161059413028,0.1770929329417838,-0.27947559687707585,-0.002716665624665715,171.52083492279053,0.2120138120768597,1.8494888349690386,0.969811320754717,0.6930813819834114,0.2628155896984135,79.0998128668329,0.39264358508516345,1.6939295597409698,0.19573759773289612
3,macd,0.6514973811550306,0.4208040922830631,0.07557547903469275,-0.7321551836054532,0.5146743020758768,0.1764022559776894,0.15298523128648994,0.008635672729839616,172.01309776306152,0.19441063746190923,2.011094676056258,0.9849056603773585,0.9052282723873967,0.3416006394957623,240.72145193350119,0.38389207104156425,2.446965051438827,0.25010467892976007
4,bollinger,1.2927479434612392,0.47836100741379367,0.3118398853895512,-0.5522375831006098,0.5225483178239084,0.16456283244300257,0.6412505623062086,0.05755691513073058,179.92299604415894,0.165635444762222,3.0690085241274017,1.0,1.816903278551205,0.935929274621322,80.14434632528831,0.39981136553668994,9.071432166934418,0.5168553205699857
5,atr,1.2614203679682015,0.4784940848759948,0.2995508081316345,-0.5659551725799982,0.5225483178239084,0.16245567667616945,-0.031327575493037774,0.0001330774622011477,180.93324089050293,0.16186171854747153,3.1691475905126656,1.0,1.7616593996033192,0.8848210339978154,123.84364864168771,0.3969882314531247,8.493415343188495,0.500769040998646
6,adx,1.339320285002658,0.47798608803184345,0.32494844495552755,-0.5490365932528158,0.5196850393700787,0.16344144521773457,0.07789991703445653,-0.0005079968441513705,188.49391674995422,0.1621649758409781,3.163043719695653,1.0,1.8756613032332026,0.9663340234830028,280.12600920352253,0.39613582063855735,9.586061695187555,0.5305527401973944
7,obv,1.1595845692590696,0.5288082785436032,0.2642161716850582,-0.5793067339356779,0.5404438081603435,0.164402655788649,-0.17973571574358838,0.05082219051175979,195.30737614631653,0.13746373772006748,4.089144305462821,1.0,1.585381312039295,0.7987514127628009,145.82812076965678,0.39904124668525776,7.233783169106983,0.46272207215412675
8,gap,1.1811307207837483,0.5282521437633548,0.2722057320183242,-0.5788604042212504,0.5418754473872585,0.15953371415563064,0.021546151524678647,-0.0005561347802484073,205.79159092903137,0.13679855467659713,4.102879054386991,1.0,1.6143720010143976,0.8150660092678225,727.0864355487485,0.3994557344835637,7.521392444766546,0.4718094395917731
9,momentum,0.9413887349061044,0.5225508532641128,0.19030937764551248,-0.6199505456064599,0.5332856120257695,0.1709531011912399,-0.23974198587764384,-0.005701290499242062,220.58328485488892,0.14033209453147152,3.9703060765788876,1.0,1.2906775253389982,0.6089180046259199,18.359904704480844,0.40100230138730975,4.9030116269791195,0.37749904919743593
10,mean_reversion,0.8890673847365255,0.5219777688360399,0.1725297838612334,-0.6375150461138426,0.5311381531853973,0.173638191955638,-0.05232135016957895,-0.0005730844280729119,229.19875311851501,0.14025363211284575,3.969358036030765,1.0,1.219043863921243,0.5592764394921836,76.88351975708375,0.4010350072833992,4.422165790484036,0.35654714511324515
11,sentiment,0.8890673847365255,0.5219777688360399,0.1725297838612334,-0.6375150461138426,0.5311381531853973,0.173638191955638,0.0,0.0,230.1661171913147,0.14025363211284575,3.969358036030765,1.0,1.219043863921243,0.5592764394921836,76.88351975708375,0.4010350072833992,4.422165790484036,0.35654714511324515
