ticker,score,rank,percentile,tech_score,fund_score,sent_score,predicted_return,rsi,return_21d,return_63d,volatility,sector,features,composite_score,rank_in_sector,weight
PLUG,0.3744356754476934,1,99.68652037617555,100.0,50.0,50.0,0.3744356754476934,33.61343847527489,0.07042246426743715,0.008849549119871458,0.06890971365251791,Industrials,"{'return_1m': 0.07042246426743715, 'return_3m': 0.008849549119871458, 'return_6m': 0.0, 'return_12m': -0.5159235768739447, 'vol_20d': 0.06890971365251791, 'vol_60d': 0.06793008328541579, 'dollar_volume_20d': 151784314.2324388, 'volume_ratio': 0.6168419609187521, 'turnover_20d': 0.5577711990314653, 'rsi': 33.61343847527489, 'macd': 0.05414153291472967, 'macd_signal': 0.07495861029203549, 'macd_histogram': -0.020817077377305815, 'bb_upper': 2.6777448451642134, 'bb_middle': 2.383500039577484, 'bb_lower': 2.089255233990755, 'bb_width': 0.2469014480393205, 'bb_pct': 0.3241259213032959, 'atr': 0.2085714340209961, 'adx': 36.26996805309714, 'plus_di': 17.808218059586352, 'minus_di': 17.46575264171045, 'momentum_score': 0.5007836990595611, 'distance_52w_high': -0.5148936034220271, 'distance_52w_low': 0.4161490379699355, 'relative_strength': -0.019803158103627982, 'zscore_20d': -0.7034963147868161, 'zscore_60d': 0.4550936026091646, 'mean_reversion_score': -0.12420135608882574, 'mean_reversion_rank': 0.8683385579937304}",0.34977427017907736,1,0.13171356012418925
K,0.33931284608297796,2,99.37304075235109,100.0,50.0,50.0,0.33931284608297796,56.00007846829881,0.0029661436996322177,0.008434094962532113,0.002048421287253085,Consumer Defensive,"{'return_1m': 0.0029661436996322177, 'return_3m': 0.008434094962532113, 'return_6m': 0.4451749504258309, 'return_12m': 0.5025582563607383, 'vol_20d': 0.002048421287253085, 'vol_60d': 0.002031040365829933, 'dollar_volume_20d': 149343295.87253684, 'volume_ratio': 0.6988217223102617, 'turnover_20d': 0.5925849553527187, 'rsi': 56.00007846829881, 'macd': 0.13096887806196378, 'macd_signal': 0.10334790840620094, 'macd_histogram': 0.027620969655762842, 'bb_upper': 78.83948048876013, 'bb_middle': 78.44327087402344, 'bb_lower': 78.04706125928675, 'bb_width': 0.01010181269399096, 'bb_pct': 0.6730109049219539, 'atr': 0.3031453237387853, 'adx': 29.619033762314086, 'plus_di': 23.023519077003012, 'minus_di': 14.043413253757958, 'momentum_score': 0.84717868338558, 'distance_52w_high': -0.004311751567628419, 'distance_52w_low': 0.5629750574202188, 'relative_strength': -0.020218612260967328, 'zscore_20d': 0.69204361968781, 'zscore_60d': 1.3915463986460146, 'mean_reversion_score': 1.0417950091669124, 'mean_reversion_rank': 0.987460815047022}",0.3357251384331912,1,0.12642311621029861
SMCI,0.28404481384016655,3,99.05956112852664,100.0,50.0,50.0,0.28404481384016655,16.928370185022132,-0.12517819868405455,-0.2632084352815163,0.07978979840334201,Technology,"{'return_1m': -0.12517819868405455, 'return_3m': -0.2632084352815163, 'return_6m': -0.6223163352834786, 'return_12m': 0.05266768994005, 'vol_20d': 0.07978979840334201, 'vol_60d': 0.09868702124838917, 'dollar_volume_20d': 3027439128.8023667, 'volume_ratio': 0.4098881354115356, 'turnover_20d': 0.7650398270721657, 'rsi': 16.928370185022132, 'macd': -0.8229466592317749, 'macd_signal': -0.18813396563830706, 'macd_histogram': -0.6348126935934678, 'bb_upper': 45.76098724880225, 'bb_middle': 36.59450025558472, 'bb_lower': 27.428013262367188, 'bb_width': 0.5009762084027163, 'bb_pct': 0.17738458829510173, 'atr': 2.845000539507185, 'adx': 29.390462121639377, 'plus_di': 9.816718819848012, 'minus_di': 50.288714488927155, 'momentum_score': 0.15438871473354232, 'distance_52w_high': -0.7417660532622377, 'distance_52w_low': 0.7034980519309284, 'relative_strength': -0.2918611425050157, 'zscore_20d': -1.2904616468195929, 'zscore_60d': -0.5977793247657832, 'mean_reversion_score': -0.944120485792688, 'mean_reversion_rank': 0.5924764890282131}",0.31361792553606666,1,0.11809826225916933
XPEV,0.12442813630606278,4,98.7460815047022,100.0,50.0,50.0,0.12442813630606278,27.755911276781717,-0.003358519090301937,-0.0254515937479054,0.043898412537001275,Consumer Cyclical,"{'return_1m': -0.003358519090301937, 'return_3m': -0.0254515937479054, 'return_6m': 0.5395589918066883, 'return_12m': -0.16818503820711905, 'vol_20d': 0.043898412537001275, 'vol_60d': 0.04880237022486389, 'dollar_volume_20d': 120487273.31267834, 'volume_ratio': 1.1723767854037377, 'turnover_20d': 0.6010388632861933, 'rsi': 27.755911276781717, 'macd': 0.038425338223321504, 'macd_signal': 0.10710675001907966, 'macd_histogram': -0.06868141179575815, 'bb_upper': 13.634045091136437, 'bb_middle': 12.749499988555907, 'bb_lower': 11.864954885975378, 'bb_width': 0.13875761455343463, 'bb_pct': 0.0028517480730979577, 'atr': 0.6053571701049799, 'adx': 27.906693432486474, 'plus_di': 16.637176845081207, 'minus_di': 38.005917169085194, 'momentum_score': 0.6199059561128527, 'distance_52w_high': -0.22418302368733745, 'distance_52w_low': 0.7903468598295842, 'relative_strength': -0.05410430097140484, 'zscore_20d': -1.9885930077076064, 'zscore_60d': -0.4921187297615831, 'mean_reversion_score': -1.2403558687345948, 'mean_reversion_rank': 0.36990595611285265}",0.24977125452242513,1,0.09405569235550224
RUN,0.11729464355938458,5,98.43260188087774,100.0,50.0,50.0,0.11729464355938458,27.67624482482401,-0.17748919107199024,-0.4739756212111115,0.03910922676502563,Technology,"{'return_1m': -0.17748919107199024, 'return_3m': -0.4739756212111115, 'return_6m': -0.1296381096471213, 'return_12m': -0.5324803079391887, 'vol_20d': 0.03910922676502563, 'vol_60d': 0.056638145139106845, 'dollar_volume_20d': 77236865.5035448, 'volume_ratio': 0.9075496028935104, 'turnover_20d': 0.36185121619512084, 'rsi': 27.67624482482401, 'macd': -0.5293171743300196, 'macd_signal': -0.6015495750324708, 'macd_histogram': 0.07223240070245118, 'bb_upper': 11.543754177717663, 'bb_middle': 10.249499940872193, 'bb_lower': 8.955245704026723, 'bb_width': 0.2525497330234306, 'bb_pct': 0.21045103831416673, 'atr': 0.6035714830671036, 'adx': 19.68926453006623, 'plus_di': 10.769227991117445, 'minus_di': 25.798829136339062, 'momentum_score': 0.05799373040752351, 'distance_52w_high': -0.5581395348837209, 'distance_52w_low': 0.040525726278344054, 'relative_strength': -0.5026283284346109, 'zscore_20d': -1.1581958467433324, 'zscore_60d': -1.1200973424077636, 'mean_reversion_score': -1.1391465945755481, 'mean_reversion_rank': 0.46394984326018807}",0.24691785742375386,2,0.09298119625228227
SEDG,0.1107667670854424,6,98.11912225705329,100.0,50.0,50.0,0.1107667670854424,46.11172025782419,-0.08681022824071005,-0.4076822442075627,0.0711771299424087,Technology,"{'return_1m': -0.08681022824071005, 'return_3m': -0.4076822442075627, 'return_6m': -0.43387567444510033, 'return_12m': -0.8597126101117671, 'vol_20d': 0.0711771299424087, 'vol_60d': 0.07247723932548927, 'dollar_volume_20d': 67941834.8220253, 'volume_ratio': 0.6879559846489671, 'turnover_20d': 0.5771385335426158, 'rsi': 46.11172025782419, 'macd': -0.05560352767199461, 'macd_signal': -0.15031554675188508, 'macd_histogram': 0.09471201907989046, 'bb_upper': 15.75378772743263, 'bb_middle': 13.973000001907348, 'bb_lower': 12.192212276382065, 'bb_width': 0.2548898196925787, 'bb_pct': 0.386847741225234, 'atr': 1.380071367536272, 'adx': 31.626045349383343, 'plus_di': 24.584649914983242, 'minus_di': 17.00222551987369, 'momentum_score': 0.08934169278996865, 'distance_52w_high': -0.8550213684183328, 'distance_52w_low': 0.29670324863478337, 'relative_strength': -0.43633495143106216, 'zscore_20d': -0.45260903509906364, 'zscore_60d': -0.6017899517545203, 'mean_reversion_score': -0.527199493426792, 'mean_reversion_rank': 0.7554858934169278}",0.244306706834177,3,0.09199792226818544
BTG,0.1010487132786374,7,97.80564263322884,100.0,50.0,50.0,0.1010487132786374,30.303022540889884,-0.1508358507740627,-0.20321926469674945,0.022000147528102847,Basic Materials,"{'return_1m': -0.1508358507740627, 'return_3m': -0.20321926469674945, 'return_6m': -0.07398218560265035, 'return_12m': -0.19505342733877906, 'vol_20d': 0.022000147528102847, 'vol_60d': 0.022163115891323755, 'dollar_volume_20d': 37896147.07049847, 'volume_ratio': 0.8545364909947666, 'turnover_20d': 0.32479280209554173, 'rsi': 30.303022540889884, 'macd': -0.10829647053322189, 'macd_signal': -0.10331240308456435, 'macd_histogram': -0.0049840674486575365, 'bb_upper': 2.8307074683978595, 'bb_middle': 2.573099637031555, 'bb_lower': 2.3154918056652507, 'bb_width': 0.20023152439094236, 'bb_pct': 0.1426541314607841, 'atr': 0.08179535427919138, 'adx': 33.645531306239974, 'plus_di': 11.206869796540628, 'minus_di': 31.89656720564324, 'momentum_score': 0.12068965517241378, 'distance_52w_high': -0.29277103391042225, 'distance_52w_low': 0.09734151589029993, 'relative_strength': -0.2318719719202489, 'zscore_20d': -1.4293834741568645, 'zscore_60d': -1.5944990013541638, 'mean_reversion_score': -1.5119412377555141, 'mean_reversion_rank': 0.1786833855799373}",0.24041948531145496,1,0.09053412167048293
DIS,0.09348725660230132,9,97.17868338557993,100.0,69.805,50.0,0.09348725660230132,32.82673919074297,-0.053648226875779526,0.15699088651466275,0.0075817869446949656,Communication Services,"{'return_1m': -0.053648226875779526, 'return_3m': 0.15699088651466275, 'return_6m': 0.14039572033387615, 'return_12m': 0.23677439219591623, 'vol_20d': 0.0075817869446949656, 'vol_60d': 0.014724646373525021, 'dollar_volume_20d': 913800924.6996307, 'volume_ratio': 0.7019528024142176, 'turnover_20d': 0.4217622747801843, 'pe_ratio': 15.39, 'pb_ratio': 1.5, 'earnings_yield': 0.0649772579597141, 'rsi': 32.82673919074297, 'macd': 0.6811797991269799, 'macd_signal': 1.4609350286797742, 'macd_histogram': -0.7797552295527943, 'bb_upper': 116.07809089952381, 'bb_middle': 112.2417121887207, 'bb_lower': 108.40533347791758, 'bb_width': 0.0683592335860436, 'bb_pct': 0.15414502236667652, 'atr': 1.8784238746942645, 'adx': 17.837717614698292, 'plus_di': 17.37412314911833, 'minus_di': 19.126667841242664, 'momentum_score': 0.7123824451410657, 'distance_52w_high': -0.08968892409148554, 'distance_52w_low': 0.3001280312379928, 'relative_strength': 0.1283381792911633, 'zscore_20d': -1.383419910533292, 'zscore_60d': 0.614292595934921, 'mean_reversion_score': -0.3845636572991855, 'mean_reversion_rank': 0.7931034482758621}",0.23739490264092056,1,0.08939516267495118
WBD,0.048838980496720766,12,96.23824451410658,100.0,50.0,50.0,0.048838980496720766,49.48024754290097,0.012524095665476853,0.27393942168264673,0.0420120681765357,Communication Services,"{'return_1m': 0.012524095665476853, 'return_3m': 0.27393942168264673, 'return_6m': 0.480281742260916, 'return_12m': -0.10094092334114302, 'vol_20d': 0.0420120681765357, 'vol_60d': 0.034642609197982385, 'dollar_volume_20d': 329279135.45548916, 'volume_ratio': 0.5991349020429502, 'turnover_20d': 0.5679537391692389, 'rsi': 49.48024754290097, 'macd': 0.20898768390014055, 'macd_signal': 0.3676127954852652, 'macd_histogram': -0.15862511158512466, 'bb_upper': 11.998193028587501, 'bb_middle': 10.871000003814697, 'bb_lower': 9.743806979041892, 'bb_width': 0.20737614283456274, 'bb_pct': 0.3398678101270085, 'atr': 0.5342856134687148, 'adx': 45.184857530072065, 'plus_di': 24.19785838877203, 'minus_di': 23.529419264505258, 'momentum_score': 0.7562695924764891, 'distance_52w_high': -0.15852678771178785, 'distance_52w_low': 0.566318952180553, 'relative_strength': 0.2452867144591473, 'zscore_20d': -0.6405287594919654, 'zscore_60d': 0.8194024828337352, 'mean_reversion_score': 0.08943686167088488, 'mean_reversion_rank': 0.8996865203761756}",0.21953559219868832,2,0.08266992997414337
LEU,0.04526130837622405,13,95.92476489028213,100.0,50.0,50.0,0.04526130837622405,42.608151985756564,-0.17735480218558253,0.23719238829821943,0.04256089203796083,Energy,"{'return_1m': -0.17735480218558253, 'return_3m': 0.23719238829821943, 'return_6m': 0.6195703613146375, 'return_12m': 0.24513762587801025, 'vol_20d': 0.04256089203796083, 'vol_60d': 0.08232523943755135, 'dollar_volume_20d': 49355375.95737457, 'volume_ratio': 0.7543216343635412, 'turnover_20d': 0.3673249736667378, 'rsi': 42.608151985756564, 'macd': -2.8361927161992355, 'macd_signal': -2.622491704402708, 'macd_histogram': -0.21370101179652767, 'bb_upper': 81.60519470919579, 'bb_middle': 73.03750038146973, 'bb_lower': 64.46980605374367, 'bb_width': 0.23461083095608679, 'bb_pct': 0.19784754374562766, 'atr': 5.237856183733259, 'adx': 27.76125786916985, 'plus_di': 14.305184992823186, 'minus_di': 16.173466224030612, 'momentum_score': 0.6755485893416928, 'distance_52w_high': -0.3804437015735792, 'distance_52w_low': 0.9191176311938665, 'relative_strength': 0.20853968107471998, 'zscore_20d': -1.2086098250174895, 'zscore_60d': -0.9182713514243082, 'mean_reversion_score': -1.0634405882208988, 'mean_reversion_rank': 0.5235109717868338}",0.21810452335048963,1,0.08213103621079546
