ticker,sector,model_score,value_score,quality_score,domain_score,domain_rank
K,Consumer Defensive,0.33931284608297796,30.0,30.0,15.46626329458066,1
PG,Consumer Defensive,-0.004351372028148406,30.0,30.0,15.297867827706208,2
HSY,Consumer Defensive,-0.02179524667324509,30.0,30.0,15.28932032913011,3
DLTR,Consumer Defensive,-0.03304454743170029,30.0,30.0,15.283808171758468,4
STZ,Consumer Defensive,-0.03339998374190309,30.0,30.0,15.28363400796647,5
PEP,Consumer Defensive,-0.036825961020692695,30.0,30.0,15.281955279099861,6
COST,Consumer Defensive,-0.03796187746643335,30.0,30.0,15.281398680041448,7
KMB,Consumer Defensive,-0.04333824205854426,30.0,30.0,15.278764261391313,8
