ticker,sector,model_score,value_score,quality_score,domain_score,domain_rank
K,Consumer Defensive,0.33931284608297796,50.0,50.0,25.66626329458066,1
PG,Consumer Defensive,-0.004351372028148406,50.0,50.0,25.49786782770621,2
HSY,Consumer Defensive,-0.02179524667324509,50.0,50.0,25.48932032913011,3
DLTR,Consumer Defensive,-0.03304454743170029,50.0,50.0,25.48380817175847,4
STZ,Consumer Defensive,-0.03339998374190309,50.0,50.0,25.483634007966465,5
PEP,Consumer Defensive,-0.036825961020692695,50.0,50.0,25.48195527909986,6
COST,Consumer Defensive,-0.03796187746643335,50.0,50.0,25.481398680041448,7
KMB,Consumer Defensive,-0.04333824205854426,50.0,50.0,25.478764261391312,8
