date,portfolio_return,benchmark_return
2020-02-04,0.04309174699423241,0.015241336226737623
2020-02-05,0.012650624202570961,0.011548034089492232
2020-02-06,0.006754669392656531,0.003364709272310362
2020-02-07,0.006210254389484074,-0.005329384606947207
2020-02-10,0.0015464471878890995,0.007465185325385981
2020-02-11,0.0005844685021384795,0.0017330094720471312
2020-02-12,0.004373898075440797,0.006442742644124033
2020-02-13,-0.004721702711613318,-0.0010671304189908692
2020-02-14,-0.01172185481527105,0.0016021091918185792
2020-02-18,0.020674349343020607,-0.002577030768113775
2020-02-19,0.09260173802266351,0.004781367531443648
2020-02-20,0.009914112926475618,-0.004108187150332343
2020-02-21,-0.018276680084224065,-0.010298157729419999
2020-02-24,-0.0351264530141815,-0.03316530081575564
2020-02-25,0.011547739797107326,-0.030302322919864344
2020-02-26,0.018064276760366114,-0.00367818036217471
2020-02-27,-0.05348681088906569,-0.04491168312301175
2020-02-28,-0.0023050618899475355,-0.0042018471694927895
2020-03-03,-0.0009372307270341773,-0.02863217524261763
2020-03-04,0.0245752685049503,0.04203306177289212
2020-03-05,-0.01560521619698292,-0.03324213334939974
2020-03-06,-0.039756394742692304,-0.016530897534090205
2020-03-09,-0.1177022514546407,-0.07809454577046959
2020-03-10,0.023632968946060852,0.05174485732892298
2020-03-11,-0.07327610875265693,-0.04874833453630456
2020-03-12,-0.1364655773594252,-0.09567707769403355
2020-03-13,0.00016195230487876236,0.08548639225953814
2020-03-16,-0.04183011322914845,-0.10942385167268875
2020-03-17,0.1440370518302952,0.05399210491037221
2020-03-18,-0.1431550317764555,-0.05063308148221435
2020-03-19,0.04836193195569978,0.0021250734312119324
2020-03-20,-0.039908612093381604,-0.043094334460139216
2020-03-23,0.02607328461640711,-0.025568011421184922
2020-03-24,0.11493037034989412,0.09060325369512467
2020-03-25,0.07638634731447583,0.014970123273876812
2020-03-26,-0.0003899793867167662,0.05838984018927196
2020-03-27,-0.06717663009240349,-0.02978562102621196
2020-03-30,-0.012318029693266086,0.032475646498607125
2020-03-31,-0.005685313923690749,-0.014905285961076764
2020-04-01,-0.044511401784315396,-0.045004972978416546
2020-04-03,0.022643668823482226,-0.014454333733157188
2020-04-06,0.0510755619009681,0.06716633837233776
2020-04-07,0.05200088596536215,0.001019335116497988
2020-04-08,0.052770269713694064,0.03356859041927818
2020-04-09,-0.0066465097355269745,0.015216943614698053
2020-04-13,-0.012172408355565413,-0.009129996985507427
2020-04-14,0.03467341270128929,0.02949282874995318
2020-04-15,-0.04539376036194942,-0.021247886329501364
2020-04-16,-0.010914578189446566,0.004824271043145423
2020-04-17,0.07440665738685569,0.027015061933513884
2020-04-20,0.019523202301482502,-0.01761768939466568
2020-04-21,-0.030798287183284326,-0.030363248832999012
2020-04-22,0.05635721491532793,0.02219460777368143
2020-04-23,0.05800988774969694,-7.200536849250039e-05
2020-04-24,-0.0007555138485337508,0.013939084054229722
2020-04-27,0.04318976283363743,0.014418233127022617
2020-04-28,0.028078889942519322,-0.0045984756484018785
2020-04-29,0.06838812599656914,0.026178718445899918
2020-04-30,-0.02626809383954886,-0.009310978133163506
2020-05-01,-0.04051001613227543,-0.026473144688080597
2020-05-05,-0.01121904948359852,0.00923917739061797
2020-05-06,-0.038268101229608165,-0.006778748860635453
2020-05-07,0.018634610871915248,0.012067005712087964
2020-05-08,0.05167278568053513,0.01654617440423478
2020-05-11,-0.011566758857067629,0.00020503010976402614
2020-05-12,-0.02503209906071611,-0.0199317234619103
2020-05-13,-0.05237314359165599,-0.017685714846677913
2020-05-14,-1.0292502635755245e-05,0.01196728633696309
2020-05-15,-0.001998549995816646,0.004596952513377106
2020-05-18,0.08519287024800035,0.03045973934145052
2020-05-19,-0.013386575806642343,-0.010271072269103732
2020-05-20,0.015344655264163901,0.016987968570710388
2020-05-21,-0.0047157380087399,-0.006903969286156442
2020-05-22,-0.008522781870534636,0.001898828120351137
2020-05-26,0.045776485710618264,0.012321008290732127
2020-05-27,0.02632040089786249,0.01487877659407233
2020-05-28,-0.034351246779607277,-0.001844715368228611
2020-05-29,-0.00907167654011467,0.004455628289158131
2020-06-01,0.030511493304481645,0.004041920125296139
2020-06-03,0.03947403553383102,0.013308093074439808
2020-06-04,0.01064502108544593,-0.002626768797575618
2020-06-05,0.052111129025500476,0.025629427027424878
2020-06-08,0.03582063922672294,0.012087398943364747
2020-06-09,-0.019805729879346992,-0.007456421743220365
2020-06-10,-0.013902563285499393,-0.005580376033683887
2020-06-11,-0.0812846919554467,-0.05764881869480254
2020-06-12,0.03288762169897326,0.011975840820528383
2020-06-15,0.04265817570136532,0.009335627107764477
2020-06-16,0.007434855580645928,0.019247523864238225
2020-06-17,-0.0008398789312764386,-0.004153657944157785
2020-06-18,0.005948337637871093,0.00038487814511478646
2020-06-19,-0.009578283749029061,-0.005714776013402201
2020-06-22,0.02300398880152066,0.006415130934204427
2020-06-23,-0.0023941718104641303,0.004603723431914508
2020-06-24,-0.04259345070927479,-0.025508882575245417
2020-06-25,0.014056516073963254,0.01072059494808797
2020-06-26,-0.025513331565508363,-0.02375150685754246
2020-06-29,0.02180863020704469,0.014697701091338944
2020-06-30,0.01780571057402079,0.012809473681589356
2020-07-01,0.01635654301263497,0.007004942980411988
2020-07-06,0.035913804312201515,0.015437150321180537
2020-07-07,0.011670457151525229,-0.010313873325108025
2020-07-08,0.022382609721577757,0.007648933381867229
2020-07-09,-0.019786482901218566,-0.005693231675506727
2020-07-10,0.019904373600222226,0.010210743976260872
2020-07-13,-0.023178660461504498,-0.008659022760462487
2020-07-14,0.030632964094642768,0.01295933323163645
2020-07-15,0.03695571044390715,0.009187041171194954
2020-07-16,-0.000785859985286952,-0.0032934497864895995
2020-07-17,0.02190022032167236,0.0028990618252446865
2020-07-20,0.03131197069826297,0.00808146982238278
2020-07-21,0.03623725899809872,0.0021273812598354702
2020-07-22,0.01684101527266443,0.005692414481934138
2020-07-23,-0.00341183938759998,-0.011931829985617037
2020-07-24,-0.010045484628987524,-0.006440557528431201
2020-07-27,0.027379726963231647,0.007292724010290463
2020-07-28,-0.020938320924182397,-0.006342468625732844
2020-07-29,-0.0027731955991906476,0.01229871161681717
2020-07-30,-0.0238666973938072,-0.003567935402230993
2020-07-31,0.022076033835342693,0.007902269611849366
2020-08-04,0.02842239426487151,0.003862462798756683
2020-08-05,0.01905559641494098,0.006211031249304
2020-08-06,-0.005456757242900434,0.006684445005559203
2020-08-07,-0.02212760591484638,0.0007180654844565204
2020-08-10,0.0033777382043814214,0.0029888238324020655
2020-08-11,-0.034732422538033034,-0.008254791580633247
2020-08-12,0.004013206131780077,0.013942494502587222
2020-08-13,0.001371444976390934,-0.0018078754088892701
2020-08-14,0.003649728742949454,2.965247591801834e-05
2020-08-17,0.02089527890521093,0.0031766352464126513
2020-08-18,-0.00871968155955739,0.0021603461470363072
2020-08-19,-0.016190081904149993,-0.004163518938107513
2020-08-20,0.006285661908210662,0.0031135306281955266
2020-08-21,-0.018155367460663315,0.0035471369600037495
2020-08-24,0.02430649184996143,0.010133352908499704
2020-08-25,0.011886452812312131,0.0034993334694461975
2020-08-26,0.03320949676566111,0.010025549047811388
2020-08-27,-0.010932140031475192,0.002186701870888097
2020-08-28,0.0011652878521225536,0.006459014348770387
2020-08-31,-0.019958300073514738,-0.00362249037445439
2020-09-01,0.007274126557732874,0.00941863214913985
2020-09-03,-0.02899521591283716,-0.0344146733563685
2020-09-04,-0.019431471558744928,-0.008164588577230125
2020-09-08,-0.062226831955294055,-0.027322960152532993
2020-09-09,0.024502993490658976,0.019747538494884198
2020-09-10,-0.01635430178776881,-0.017363702771684975
2020-09-11,-0.0121614577295317,0.0005089255973482754
2020-09-14,0.031043931646017625,0.013171261228040798
2020-09-15,0.026676305379413078,0.005052484855839312
2020-09-16,0.018538782068185326,-0.0039685273705225566
2020-09-17,-0.0038344047075319788,-0.00879533616124073
2020-09-18,-0.012960265426953553,-0.01151257447485543
2020-09-21,-0.05402901239262124,-0.011129630651996014
2020-09-22,0.0042557907096301365,0.01018429942011001
2020-09-23,-0.05515954093678231,-0.023191067695043754
2020-09-24,0.0060585423670781804,0.0026655958830459348
2020-09-25,0.002549769325462581,0.016167025227980192
2020-09-28,0.042647562618956865,0.016609232160713194
2020-09-29,-0.005480722961114816,-0.005445990294595693
2020-09-30,-0.007627758127370866,0.007582014437595319
2020-10-01,-0.011605286597288522,0.006419980339576137
2020-10-05,0.02585962476602043,0.01773301996438703
2020-10-06,-0.006949093982556144,-0.014215947228777392
2020-10-07,0.02571318899925233,0.017406621930998734
2020-10-08,0.017800210325978883,0.008862626827287556
2020-10-09,-0.00207607271030713,0.008930125044862125
2020-10-12,0.013624347682708727,0.01608732062160434
2020-10-13,-0.006617584633196072,-0.006525921328049078
2020-10-14,0.012596924502621287,-0.006283352295226807
2020-10-15,0.0029767802530023873,-0.0012359678535122098
2020-10-16,-0.021502695354885405,-0.000604482219596747
2020-10-19,-0.0033964201642298296,-0.015203254115409126
2020-10-20,0.009547840055705225,0.004005836969759757
2020-10-21,-0.006317444998420164,-0.0018928597585683438
2020-10-22,0.011770766828865496,0.005485401304974102
2020-10-23,-0.015136418062655255,0.0033948337514670968
2020-10-26,-0.025837104304841055,-0.018479708648297843
2020-10-27,0.016369954870372863,-0.003447338508790976
2020-10-28,-0.038699407134379256,-0.034179013113867396
2020-10-29,0.019382316909326326,0.010163208960436876
2020-10-30,-0.018223394073173055,-0.010424516503138026
2020-11-03,0.03163559157858358,0.017655866557916955
2020-11-04,0.01898161324386235,0.02234910172128557
2020-11-05,0.05326889809387923,0.01950304334558628
2020-11-06,-0.022839941845991103,-0.00022853988883475562
2020-11-09,0.06951710157523648,0.012565910106097533
2020-11-10,0.028548689871639693,-0.0014664835313908942
2020-11-11,0.008220004780848956,0.007428316646985289
2020-11-12,0.0017299817062334981,-0.009700955551531942
2020-11-13,0.012371945338064705,0.013844346563387733
2020-11-16,0.03870207829326133,0.012482852946909428
2020-11-17,0.006845510475827112,-0.005378296327701371
2020-11-18,0.002996544611786968,-0.012035091424888122
2020-11-19,0.05594611549316835,0.004210497021292836
2020-11-20,0.020014949262470497,-0.006847885165781609
2020-11-23,0.10019993653316303,0.005994222358355117
2020-11-24,0.03834412887109742,0.016113793003049715
2020-11-25,0.001166981659306976,-0.001541796264508899
2020-11-27,-0.0076412660734974215,0.0027852583552092636
2020-11-30,-0.03556691738675103,-0.004427550644460765
2020-12-01,-0.017959842756062938,0.01093778450989391
2020-12-03,0.028570286601720164,-0.0002727401216293668
2020-12-04,0.0697719314871988,0.008617608400574461
2020-12-07,0.03637717949189999,-0.0020547699566657585
2020-12-08,0.02141912529944667,0.002926116948074764
2020-12-09,-5.192160030278252e-05,-0.008968974583574152
2020-12-10,0.038225531606090754,-0.0003269303726012307
2020-12-11,-0.008285309841000212,-0.0011725177663701736
2020-12-14,-0.027145200695943186,-0.0044773257907249064
2020-12-15,0.04364580003298249,0.013519487383102158
2020-12-16,0.0009144284142058698,0.001569322089456593
2020-12-17,0.009362610067845204,0.005591872675559495
2020-12-18,-0.02454261789845174,-0.003992925260740576
2020-12-21,-0.0085017938715618,-0.0035755488671628255
2020-12-22,-0.002956183851310237,-0.0016851883039293858
2020-12-23,0.03431337017823904,0.0008986759152094237
2020-12-24,0.000597862357784707,0.0038902321100375836
2020-12-28,0.01197000798793434,0.008590747590131675
2020-12-29,-0.01829416820108718,-0.0019075911075474572
2020-12-30,0.025680529456144963,0.0014268269338666428
2020-12-31,-0.02538564898974544,0.005080991875281882
2021-01-05,0.06042140379389034,0.00688730790591463
2021-01-06,0.022149918684350355,0.005978624614356942
2021-01-07,0.02430295655577104,0.01485751393397905
2021-01-08,-0.02196964281712216,0.005697582867151274
2021-01-11,-0.0034949127911354846,-0.006740930981280369
2021-01-12,0.047073522222828346,0.00021133643880499875
2021-01-13,-0.009980579083281548,0.002692934516636436
2021-01-14,0.03209933883965978,-0.003502086670016946
2021-01-15,-0.041811212138121424,-0.0072925151968791235
2021-01-19,0.013199758358337678,0.007852005169871168
2021-01-20,0.009717541380977877,0.013838557842704269
2021-01-21,-0.03143608047284057,0.0009116468958656476
2021-01-22,-0.0003185020659831066,-0.0035394646049284884
2021-01-25,-0.015709068433828733,0.003943956371423418
2021-01-26,-0.025312004019371684,-0.0015607538157713652
2021-01-27,-0.032277457574308686,-0.02444062654154644
2021-01-28,0.045455507298982754,0.008600298100591042
2021-01-29,-0.030184501555613797,-0.020019729884975357
2021-02-01,0.04770361570915063,0.0166455870033253
2021-02-03,0.03804240894023371,0.0007862282558748213
2021-02-04,0.00995988201598772,0.011365668765994652
2021-02-05,0.03393524911971099,0.0039358870462891105
2021-02-08,0.04534860255259117,0.007221991321097132
2021-02-09,0.011910590657680676,-0.0006660538011739048
2021-02-10,0.026145156906194088,-0.0004352843359212155
2021-02-11,0.0034249361062747338,0.0016149242500878014
2021-02-12,0.019558626895046727,0.004939713489086728
2021-02-16,0.02991856301309786,-0.0008660187193597624
2021-02-17,-0.006878364196694864,0.00022958846080900486
2021-02-18,-0.04964740602497114,-0.004256034603495107
2021-02-19,0.0070655773597108965,-0.0017661523282118674
2021-02-22,-0.0004983142831528108,-0.007691594575692018
2021-02-23,-0.014218067500611697,0.0012144241182585613
2021-02-24,0.04537465239121848,0.01101898183652783
2021-02-25,-0.06272988201218167,-0.02409543041496076
2021-02-26,-0.009017570673514708,-0.005152645597360617
2021-03-01,0.03192659301437924,0.024240298903864366
2021-03-03,-0.051104198530828704,-0.013245606667984355
2021-03-04,-0.05631367146301966,-0.0123749746398647
2021-03-05,-0.003717635087491522,0.01839687465149864
2021-03-08,-0.05116956619886833,-0.004978808702586712
2021-03-09,0.10085294643664303,0.014277357784399092
2021-03-10,0.009396781057257499,0.006224871892777983
2021-03-11,0.0836548682134654,0.010138938050275437
2021-03-12,-0.0028879394546168376,0.001346890575213644
2021-03-15,0.012188565457690193,0.005963545400001324
2021-03-16,-0.03207825629799756,-0.001261314013088377
2021-03-17,0.008804117530713695,0.003409782665062311
2021-03-18,-0.04556988439784592,-0.014549540552735718
2021-03-19,0.02501704864504718,-0.0018502418149806132
2021-03-22,0.012082229041232788,0.007984943729321792
2021-03-23,-0.036711670394299276,-0.007870975399518643
2021-03-24,-0.0716303601435561,-0.0050833649429696814
2021-03-25,0.006647961291335257,0.005625720211255292
2021-03-26,0.016074867236507064,0.016114726955635206
2021-03-29,-0.028076463931766178,-0.0005052679948851502
2021-03-30,0.034856343190380466,-0.0026527629613034565
2021-03-31,0.061914349577562866,0.004053458230896867
2021-04-01,0.03205624785615766,0.010798992231089155
2021-04-06,0.0399587920086287,-0.0005908337531904673
2021-04-07,-0.05754500873056649,0.001157492751628908
2021-04-08,0.021148373072916445,0.0047468373451851065
2021-04-09,-0.010186014243974308,0.007270037011039454
2021-04-12,-0.03616052981119015,0.0003644298996281492
2021-04-13,0.019308589807301102,0.002963852493697905
2021-04-14,-0.03805964675223514,-0.0034151576805214745
2021-04-15,-0.034295943732137756,0.010742539865472578
