date,ticker,weight
2020-02-01,NIO,0.1
2020-02-01,PLUG,0.1
2020-02-01,CDE,0.1
2020-02-01,DNN,0.1
2020-02-01,GOLD,0.1
2020-02-01,HL,0.1
2020-02-01,SEDG,0.1
2020-02-01,DDOG,0.1
2020-02-01,ENPH,0.1
2020-02-01,MRNA,0.1
2020-03-01,UEC,0.1
2020-03-01,CDE,0.1
2020-03-01,MRNA,0.1
2020-03-01,PLUG,0.1
2020-03-01,NIO,0.1
2020-03-01,LEU,0.1
2020-03-01,HL,0.1
2020-03-01,RUN,0.1
2020-03-01,EGO,0.1
2020-03-01,TAN,0.1
2020-04-01,UEC,0.1
2020-04-01,OXY,0.1
2020-04-01,DNN,0.1
2020-04-01,DVN,0.1
2020-04-01,NXE,0.1
2020-04-01,HAL,0.1
2020-04-01,NIO,0.1
2020-04-01,FANG,0.1
2020-04-01,F,0.1
2020-04-01,SPG,0.1
2020-05-01,UEC,0.1
2020-05-01,NIO,0.1
2020-05-01,SPG,0.1
2020-05-01,OXY,0.1
2020-05-01,NXE,0.1
2020-05-01,F,0.1
2020-05-01,FANG,0.1
2020-05-01,DNN,0.1
2020-05-01,BA,0.1
2020-05-01,MPC,0.1
2020-06-01,SPG,0.1
2020-06-01,NIO,0.1
2020-06-01,OXY,0.1
2020-06-01,NXE,0.1
2020-06-01,NET,0.1
2020-06-01,DNN,0.1
2020-06-01,UEC,0.1
2020-06-01,DDOG,0.1
2020-06-01,LEN,0.1
2020-06-01,IDXX,0.1
2020-07-01,DNN,0.1
2020-07-01,FANG,0.1
2020-07-01,BILL,0.1
2020-07-01,NXE,0.1
2020-07-01,UEC,0.1
2020-07-01,CDE,0.1
2020-07-01,MPC,0.1
2020-07-01,RUN,0.1
2020-07-01,DVN,0.1
2020-07-01,FCX,0.1
2020-08-01,LI,0.1
2020-08-01,UEC,0.1
2020-08-01,FANG,0.1
2020-08-01,BILL,0.1
2020-08-01,NET,0.1
2020-08-01,CDE,0.1
2020-08-01,AG,0.1
2020-08-01,SPG,0.1
2020-08-01,OXY,0.1
2020-08-01,BA,0.1
2020-09-01,XPEV,0.1
2020-09-01,LEU,0.1
2020-09-01,BA,0.1
2020-09-01,UEC,0.1
2020-09-01,FANG,0.1
2020-09-01,OXY,0.1
2020-09-01,HMY,0.1
2020-09-01,BILL,0.1
2020-09-01,DVN,0.1
2020-09-01,HAL,0.1
2020-10-01,PLTR,0.1
2020-10-01,UEC,0.1
2020-10-01,SNOW,0.1
2020-10-01,LCID,0.1
2020-10-01,CHPT,0.1
2020-10-01,GOLD,0.1
2020-10-01,OXY,0.1
2020-10-01,CDE,0.1
2020-10-01,LEU,0.1
2020-10-01,LI,0.1
2020-11-01,UEC,0.1
2020-11-01,CHPT,0.1
2020-11-01,DNN,0.1
2020-11-01,BILL,0.1
2020-11-01,NXE,0.1
2020-11-01,XPEV,0.1
2020-11-01,DVN,0.1
2020-11-01,FANG,0.1
2020-11-01,F,0.1
2020-11-01,HAL,0.1
2020-12-01,UEC,0.1
2020-12-01,DNN,0.1
2020-12-01,CDE,0.1
2020-12-01,OXY,0.1
2020-12-01,FANG,0.1
2020-12-01,SLB,0.1
2020-12-01,CHPT,0.1
2020-12-01,BA,0.1
2020-12-01,HAL,0.1
2020-12-01,XLE,0.1
2021-01-01,DNN,0.1
2021-01-01,FANG,0.1
2021-01-01,DVN,0.1
2021-01-01,CDE,0.1
2021-01-01,SPG,0.1
2021-01-01,MPC,0.1
2021-01-01,HAL,0.1
2021-01-01,OXY,0.1
2021-01-01,SLB,0.1
2021-01-01,NET,0.1
2021-02-01,AG,0.1
2021-02-01,DVN,0.1
2021-02-01,RUN,0.1
2021-02-01,OXY,0.1
2021-02-01,NIO,0.1
2021-02-01,LI,0.1
2021-02-01,EOG,0.1
2021-02-01,FANG,0.1
2021-02-01,DNN,0.1
2021-02-01,BILL,0.1
2021-03-01,CHPT,0.1
2021-03-01,RUN,0.1
2021-03-01,DNN,0.1
2021-03-01,AG,0.1
2021-03-01,NIO,0.1
2021-03-01,XPEV,0.1
2021-03-01,LI,0.1
2021-03-01,CDE,0.1
2021-03-01,TAN,0.1
2021-03-01,NET,0.1
2021-04-01,XPEV,0.1
2021-04-01,CHPT,0.1
2021-04-01,PLUG,0.1
2021-04-01,NIO,0.1
2021-04-01,LI,0.1
2021-04-01,PLTR,0.1
2021-04-01,LCID,0.1
2021-04-01,BILL,0.1
2021-04-01,WBD,0.1
2021-04-01,ENPH,0.1
2021-05-01,PLUG,0.1
2021-05-01,LCID,0.1
2021-05-01,CHPT,0.1
2021-05-01,RUN,0.1
2021-05-01,ENPH,0.1
2021-05-01,WBD,0.1
2021-05-01,DNN,0.1
2021-05-01,UEC,0.1
2021-05-01,NIO,0.1
2021-05-01,XPEV,0.1
2021-06-01,LCID,0.1
2021-06-01,PLUG,0.1
2021-06-01,CHPT,0.1
2021-06-01,ENPH,0.1
2021-06-01,WBD,0.1
2021-06-01,NIO,0.1
2021-06-01,TSLA,0.1
2021-06-01,PLTR,0.1
2021-06-01,PDD,0.1
2021-06-01,FCX,0.1
2021-07-01,UEC,0.1
2021-07-01,PLUG,0.1
2021-07-01,LCID,0.1
2021-07-01,NIO,0.1
2021-07-01,CHPT,0.1
2021-07-01,FCX,0.1
2021-07-01,LI,0.1
2021-07-01,RUN,0.1
2021-07-01,FANG,0.1
2021-07-01,WBD,0.1
2021-08-01,CHPT,0.1
2021-08-01,UEC,0.1
2021-08-01,LCID,0.1
2021-08-01,DNN,0.1
2021-08-01,DVN,0.1
2021-08-01,LI,0.1
2021-08-01,MDB,0.1
2021-08-01,PAAS,0.1
2021-08-01,LEU,0.1
2021-08-01,SMCI,0.1
2021-09-01,CHPT,0.1
2021-09-01,RGLD,0.1
2021-09-01,PLTR,0.1
2021-09-01,LCID,0.1
2021-09-01,PAAS,0.1
2021-09-01,SEDG,0.1
2021-09-01,MRNA,0.1
2021-09-01,SMCI,0.1
2021-09-01,NXE,0.1
2021-09-01,DNN,0.1
2021-10-01,LCID,0.1
2021-10-01,DNN,0.1
2021-10-01,MRNA,0.1
2021-10-01,DVN,0.1
2021-10-01,FANG,0.1
