ticker,sector,model_score,value_score,quality_score,domain_score,domain_rank
BTG,Basic Materials,0.1010487132786374,50.0,50.0,25.549513869506534,1
NUE,Basic Materials,0.029948223351437236,50.0,50.0,25.514674629442204,2
KGC,Basic Materials,0.000385791586918582,50.0,50.0,25.50018903787759,3
PAAS,Basic Materials,-0.006579129654319312,50.0,50.0,25.496776226469386,4
FCX,Basic Materials,-0.015213708245477041,50.0,50.0,25.492545282959718,5
DOW,Basic Materials,-0.021652825343273608,50.0,50.0,25.4893901155818,6
EGO,Basic Materials,-0.02342252211303438,50.0,50.0,25.488522964164613,7
MLM,Basic Materials,-0.023972581355879447,50.0,50.0,25.48825343513562,8
