ticker,sector,model_score,value_score,quality_score,domain_score,domain_rank
LEU,Energy,0.04526130837622405,30.0,30.0,15.322178041104351,1
DNN,Energy,0.026523586657147057,30.0,30.0,15.312996557462004,2
HAL,Energy,-0.0039045229843488872,30.0,30.0,15.29808678373767,3
PSX,Energy,-0.0065264970176819185,30.0,30.0,15.296802016461337,4
DVN,Energy,-0.016120848661804434,30.0,30.0,15.292100784155718,5
MPC,Energy,-0.018604885447912677,30.0,30.0,15.290883606130524,6
FANG,Energy,-0.018983202545783517,30.0,30.0,15.290698230752568,7
VLO,Energy,-0.021418879615492725,30.0,30.0,15.28950474898841,8
