date,ticker,weight
2020-02-01,AMD,0.2
2020-02-01,GOOG,0.2
2020-02-01,SLV,0.2
2020-02-01,NLR,0.2
2020-02-01,AMZN,0.2
2020-03-01,AMD,0.2
2020-03-01,GOOG,0.2
2020-03-01,AMZN,0.2
2020-03-01,NLR,0.2
2020-03-01,SLV,0.2
2020-04-01,NLR,0.2
2020-04-01,SLV,0.2
2020-04-01,AMZN,0.2
2020-04-01,AMD,0.2
2020-04-01,GOOG,0.2
2020-05-01,AMZN,0.2
2020-05-01,AMD,0.2
2020-05-01,SLV,0.2
2020-05-01,GOOG,0.2
2020-05-01,NLR,0.2
2020-06-01,SLV,0.2
2020-06-01,AMZN,0.2
2020-06-01,AMD,0.2
2020-06-01,GOOG,0.2
2020-06-01,NLR,0.2
2020-07-01,AMZN,0.2
2020-07-01,AMD,0.2
2020-07-01,GOOG,0.2
2020-07-01,NLR,0.2
2020-07-01,SLV,0.2
2020-08-01,SLV,0.2
2020-08-01,AMZN,0.2
2020-08-01,GOOG,0.2
2020-08-01,NLR,0.2
2020-08-01,AMD,0.2
2020-09-01,SLV,0.2
2020-09-01,GOOG,0.2
2020-09-01,NLR,0.2
2020-09-01,AMZN,0.2
2020-09-01,AMD,0.2
2020-10-01,SLV,0.2
2020-10-01,GOOG,0.2
2020-10-01,AMZN,0.2
2020-10-01,NLR,0.2
2020-10-01,AMD,0.2
2020-11-01,SLV,0.16666666666666666
2020-11-01,GOOG,0.16666666666666666
2020-11-01,AMZN,0.16666666666666666
2020-11-01,STEM,0.16666666666666666
2020-11-01,AMD,0.16666666666666666
2020-11-01,NLR,0.16666666666666666
2020-12-01,SLV,0.16666666666666666
2020-12-01,GOOG,0.16666666666666666
2020-12-01,AMZN,0.16666666666666666
2020-12-01,NLR,0.16666666666666666
2020-12-01,AMD,0.16666666666666666
2020-12-01,STEM,0.16666666666666666
2021-01-01,STEM,0.16666666666666666
2021-01-01,GOOG,0.16666666666666666
2021-01-01,NLR,0.16666666666666666
2021-01-01,SLV,0.16666666666666666
2021-01-01,AMZN,0.16666666666666666
2021-01-01,AMD,0.16666666666666666
2021-02-01,STEM,0.16666666666666666
2021-02-01,NLR,0.16666666666666666
2021-02-01,SLV,0.16666666666666666
2021-02-01,GOOG,0.16666666666666666
2021-02-01,AMZN,0.16666666666666666
2021-02-01,AMD,0.16666666666666666
2021-03-01,STEM,0.16666666666666666
2021-03-01,SLV,0.16666666666666666
2021-03-01,GOOG,0.16666666666666666
2021-03-01,NLR,0.16666666666666666
2021-03-01,AMZN,0.16666666666666666
2021-03-01,AMD,0.16666666666666666
2021-04-01,STEM,0.16666666666666666
2021-04-01,SLV,0.16666666666666666
2021-04-01,AMD,0.16666666666666666
2021-04-01,AMZN,0.16666666666666666
2021-04-01,GOOG,0.16666666666666666
2021-04-01,NLR,0.16666666666666666
2021-05-01,STEM,0.16666666666666666
2021-05-01,AMD,0.16666666666666666
2021-05-01,SLV,0.16666666666666666
2021-05-01,AMZN,0.16666666666666666
2021-05-01,GOOG,0.16666666666666666
2021-05-01,NLR,0.16666666666666666
2021-06-01,STEM,0.16666666666666666
2021-06-01,AMD,0.16666666666666666
2021-06-01,AMZN,0.16666666666666666
2021-06-01,SLV,0.16666666666666666
2021-06-01,GOOG,0.16666666666666666
2021-06-01,NLR,0.16666666666666666
2021-07-01,STEM,0.16666666666666666
2021-07-01,AMZN,0.16666666666666666
2021-07-01,AMD,0.16666666666666666
2021-07-01,SLV,0.16666666666666666
2021-07-01,GOOG,0.16666666666666666
2021-07-01,NLR,0.16666666666666666
2021-08-01,STEM,0.16666666666666666
2021-08-01,AMZN,0.16666666666666666
2021-08-01,AMD,0.16666666666666666
2021-08-01,SLV,0.16666666666666666
2021-08-01,GOOG,0.16666666666666666
2021-08-01,NLR,0.16666666666666666
2021-09-01,STEM,0.16666666666666666
2021-09-01,AMD,0.16666666666666666
2021-09-01,AMZN,0.16666666666666666
2021-09-01,SLV,0.16666666666666666
2021-09-01,GOOG,0.16666666666666666
2021-09-01,NLR,0.16666666666666666
2021-10-01,STEM,0.16666666666666666
2021-10-01,AMZN,0.16666666666666666
2021-10-01,AMD,0.16666666666666666
2021-10-01,SLV,0.16666666666666666
2021-10-01,GOOG,0.16666666666666666
2021-10-01,NLR,0.16666666666666666
2021-11-01,STEM,0.16666666666666666
2021-11-01,AMZN,0.16666666666666666
2021-11-01,SLV,0.16666666666666666
2021-11-01,AMD,0.16666666666666666
2021-11-01,GOOG,0.16666666666666666
2021-11-01,NLR,0.16666666666666666
2021-12-01,STEM,0.16666666666666666
2021-12-01,AMZN,0.16666666666666666
2021-12-01,SLV,0.16666666666666666
2021-12-01,NLR,0.16666666666666666
2021-12-01,GOOG,0.16666666666666666
2021-12-01,AMD,0.16666666666666666
2022-01-01,SLV,0.16666666666666666
2022-01-01,NLR,0.16666666666666666
2022-01-01,GOOG,0.16666666666666666
2022-01-01,AMZN,0.16666666666666666
2022-01-01,AMD,0.16666666666666666
2022-01-01,STEM,0.16666666666666666
2022-02-01,NLR,0.16666666666666666
2022-02-01,STEM,0.16666666666666666
2022-02-01,GOOG,0.16666666666666666
2022-02-01,AMZN,0.16666666666666666
2022-02-01,SLV,0.16666666666666666
2022-02-01,AMD,0.16666666666666666
