ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi,pe_ratio,pb_ratio
MRVL,1,0.6246118710419848,Technology,0.011363636363636364,0.005719686199725188,0.04285412095790799,0.020108064883036347,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,54.018408216902586,54.018408216902586,,
RIVN,2,0.6203479036770126,Consumer Cyclical,0.011363636363636364,0.006027273370380707,0.04066716559577884,0.019081898919646487,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,42.97253679696367,42.97253679696367,,
LCID,3,0.564868210345288,Consumer Cyclical,0.011363636363636364,0.005130373945011085,0.04777665855773612,0.02241782420685382,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,67.24137779837616,67.24137779837616,,
JD,4,0.5167964663694956,Consumer Cyclical,0.011363636363636364,0.00962821060590305,0.025457702814895032,0.011945295540603149,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,14.124866749952972,14.124866749952972,,
WBD,5,0.49563886456613426,Communication Services,0.011363636363636364,0.006350245819507797,0.038598840298641975,0.018111396705520942,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,49.48024754290097,49.48024754290097,,
XEL,6,0.4859991128034469,Utilities,0.011363636363636364,0.019225852258469737,0.012749090180713253,0.005982144233112706,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,37.97480923418413,37.97480923418413,,
CSCO,7,0.41990479958182064,Technology,0.011363636363636364,0.016442505627648017,0.014907224591861784,0.006994786793400251,0.011363636363636367,50.0,50.0,100.0,50.0,50.0,52.17391920774392,52.17391920774392,,
GILD,8,0.41253923754758215,Healthcare,0.011363636363636364,0.014010323973397416,0.01749510751569452,0.00820907649480942,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,59.71448506994258,59.71448506994258,,
NET,9,0.4071025522339224,Technology,0.011363636363636364,0.007553146880944115,0.03245165599290745,0.015227007104131093,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,42.04470242482777,42.04470242482777,,
DXCM,10,0.3849732226716476,Healthcare,0.011363636363636364,0.008691039053465263,0.028202856152921087,0.013233379864841879,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,48.91705277140988,48.91705277140988,,
FTNT,11,0.37747646202097385,Technology,0.011363636363636364,0.009426750107401266,0.026001763221860978,0.012200580253462105,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,43.989924791236085,43.989924791236085,,
