date,ticker,weight
2020-02-01,MRNA,0.1
2020-02-01,NET,0.1
2020-02-01,ZS,0.1
2020-02-01,FAST,0.1
2020-02-01,PCAR,0.1
2020-02-01,PANW,0.1
2020-02-01,AVGO,0.1
2020-02-01,SBUX,0.1
2020-02-01,ROST,0.1
2020-02-01,PDD,0.1
2020-03-01,FAST,0.1
2020-03-01,CDW,0.1
2020-03-01,MRNA,0.1
2020-03-01,ODFL,0.1
2020-03-01,CDNS,0.1
2020-03-01,PAYX,0.1
2020-03-01,WBD,0.1
2020-03-01,DLTR,0.1
2020-03-01,CMCSA,0.1
2020-03-01,KDP,0.1
2020-04-01,NVDA,0.1
2020-04-01,CRM,0.1
2020-04-01,WBD,0.1
2020-04-01,PCAR,0.1
2020-04-01,ALGN,0.1
2020-04-01,ODFL,0.1
2020-04-01,MDB,0.1
2020-04-01,KHC,0.1
2020-04-01,LRCX,0.1
2020-04-01,KDP,0.1
2020-05-01,NVDA,0.1
2020-05-01,CRWD,0.1
2020-05-01,WBD,0.1
2020-05-01,ODFL,0.1
2020-05-01,MDB,0.1
2020-05-01,NFLX,0.1
2020-05-01,PAYX,0.1
2020-05-01,CDW,0.1
2020-05-01,IDXX,0.1
2020-05-01,FAST,0.1
2020-06-01,WBD,0.1
2020-06-01,DDOG,0.1
2020-06-01,CRWD,0.1
2020-06-01,ALGN,0.1
2020-06-01,NET,0.1
2020-06-01,NVDA,0.1
2020-06-01,ODFL,0.1
2020-06-01,NFLX,0.1
2020-06-01,MRVL,0.1
2020-06-01,DXCM,0.1
2020-07-01,ALGN,0.1
2020-07-01,CTAS,0.1
2020-07-01,WBD,0.1
2020-07-01,PCAR,0.1
2020-07-01,FAST,0.1
2020-07-01,EBAY,0.1
2020-07-01,ADI,0.1
2020-07-01,XEL,0.1
2020-07-01,ORLY,0.1
2020-07-01,LRCX,0.1
2020-08-01,WBD,0.1
2020-08-01,XEL,0.1
2020-08-01,CTAS,0.1
2020-08-01,MDB,0.1
2020-08-01,FAST,0.1
2020-08-01,KDP,0.1
2020-08-01,GOOG,0.1
2020-08-01,CRWD,0.1
2020-08-01,ALGN,0.1
2020-08-01,PEP,0.1
2020-09-01,WBD,0.1
2020-09-01,AEP,0.1
2020-09-01,XEL,0.1
2020-09-01,KDP,0.1
2020-09-01,AVGO,0.1
2020-09-01,FAST,0.1
2020-09-01,ADI,0.1
2020-09-01,DLTR,0.1
