ticker,score,rank,percentile,tech_score,fund_score,sent_score,predicted_return,rsi,return_21d,return_63d,volatility,sector,features,composite_score,rank_in_sector,weight
MRVL,0.6246118710419848,1,98.86363636363636,100.0,50.0,50.0,0.6246118710419848,54.018408216902586,0.23928976722535755,0.549534381192488,0.06900498809346974,Technology,"{'return_1m': 0.23928976722535755, 'return_3m': 0.549534381192488, 'return_6m': 0.5752871903313803, 'return_12m': 0.8280243692128193, 'vol_20d': 0.06900498809346974, 'vol_60d': 0.0433574025829803, 'dollar_volume_20d': 2218298014.627075, 'volume_ratio': 0.3158814832498653, 'turnover_20d': 0.6623883040861243, 'rsi': 54.018408216902586, 'macd': 4.977970715081582, 'macd_signal': 5.782991941498176, 'macd_histogram': -0.8050212264165939, 'bb_upper': 124.8039418036349, 'bb_middle': 110.98632125854492, 'bb_lower': 97.16870071345494, 'bb_width': 0.24899682030007192, 'bb_pct': 0.511777876859862, 'atr': 5.88800939070939, 'adx': 32.58457666985653, 'plus_di': 29.76176673837756, 'minus_di': 25.35977462688249, 'momentum_score': 0.9715909090909092, 'distance_52w_high': -0.10514504792426327, 'distance_52w_low': 0.9902481006352144, 'relative_strength': 0.5208816739689885, 'zscore_20d': 0.04711150743944785, 'zscore_60d': 1.2582348352970996, 'mean_reversion_score': 0.6526731713682737, 'mean_reversion_rank': 0.9204545454545454}",0.44984474841679395,1,0.11322224164123693
RIVN,0.6203479036770126,2,97.72727272727273,100.0,50.0,50.0,0.6203479036770126,42.97253679696367,0.11129293182969136,0.21033864532181545,0.0472054295944222,Consumer Cyclical,"{'return_1m': 0.11129293182969136, 'return_3m': 0.21033864532181545, 'return_6m': -0.02442529818422301, 'return_12m': -0.42310962635738547, 'vol_20d': 0.0472054295944222, 'vol_60d': 0.04675696450070004, 'dollar_volume_20d': 488692259.444561, 'volume_ratio': 0.5187141915459507, 'turnover_20d': 0.4340647127351762, 'rsi': 42.97253679696367, 'macd': 0.5866506992921572, 'macd_signal': 0.7093796853741949, 'macd_histogram': -0.12272898608203775, 'bb_upper': 15.481163195843806, 'bb_middle': 13.548000049591064, 'bb_lower': 11.614836903338322, 'bb_width': 0.28537985520764636, 'bb_pct': 0.5082765580797, 'atr': 0.9520000730242048, 'adx': 44.549799819998256, 'plus_di': 13.505395400582538, 'minus_di': 22.80912161364431, 'momentum_score': 0.5539772727272727, 'distance_52w_high': -0.4211423506536205, 'distance_52w_low': 0.6166667310018419, 'relative_strength': 0.181685938098316, 'zscore_20d': 0.033106232318799896, 'zscore_60d': 1.2691992135694312, 'mean_reversion_score': 0.6511527229441155, 'mean_reversion_rank': 0.9090909090909091}",0.44813916147080507,1,0.11279295936547726
LCID,0.564868210345288,3,96.5909090909091,100.0,50.0,50.0,0.564868210345288,67.24137779837616,0.4516128521892757,-0.10764870592606213,0.05672177558569593,Consumer Cyclical,"{'return_1m': 0.4516128521892757, 'return_3m': -0.10764870592606213, 'return_6m': 0.1931818354228314, 'return_12m': -0.26056335379599105, 'vol_20d': 0.05672177558569593, 'vol_60d': 0.04896282838444214, 'dollar_volume_20d': 278489160.9037962, 'volume_ratio': 0.9251042591537935, 'turnover_20d': 0.30104510104166615, 'rsi': 67.24137779837616, 'macd': 2.3038093896385234, 'macd_signal': 1.5265307889282747, 'macd_histogram': 0.7772786007102488, 'bb_upper': 34.485929176646124, 'bb_middle': 26.40999984741211, 'bb_lower': 18.3340705181781, 'bb_width': 0.6115811719722797, 'bb_pct': 0.81513402019026, 'atr': 2.476428713117327, 'adx': 63.67547812424758, 'plus_di': 33.31410580783499, 'minus_di': 11.768098327859953, 'momentum_score': 0.5426136363636364, 'distance_52w_high': -0.26056335379599105, 'distance_52w_low': 0.5671641493619064, 'relative_strength': -0.13630141314956157, 'zscore_20d': 1.2605360807610408, 'zscore_60d': 1.277580140095621, 'mean_reversion_score': 1.269058110428331, 'mean_reversion_rank': 0.9772727272727273}",0.4259472841381152,2,0.10720744545945186
JD,0.5167964663694956,4,95.45454545454545,100.0,50.0,50.0,0.5167964663694956,14.124866749952972,-0.07878457647611659,-0.14350004678227768,0.032880927613993784,Consumer Cyclical,"{'return_1m': -0.07878457647611659, 'return_3m': -0.14350004678227768, 'return_6m': 0.32842177104650183, 'return_12m': 0.23613396052570512, 'vol_20d': 0.032880927613993784, 'vol_60d': 0.03471496896856316, 'dollar_volume_20d': 347823065.31986237, 'volume_ratio': 1.3161527167469151, 'turnover_20d': 0.6636713854339397, 'rsi': 14.124866749952972, 'macd': -0.5400815553713656, 'macd_signal': -0.28597585048770824, 'macd_histogram': -0.25410570488365736, 'bb_upper': 38.89797407668762, 'bb_middle': 35.86394081115723, 'bb_lower': 32.82990754562684, 'bb_width': 0.16919686999854214, 'bb_pct': 0.07399269578856228, 'atr': 1.0235397620076232, 'adx': 21.38855035459568, 'plus_di': 8.676786191427, 'minus_di': 50.75919299817443, 'momentum_score': 0.5397727272727273, 'distance_52w_high': -0.27230249532231854, 'distance_52w_low': 0.643758265789153, 'relative_strength': -0.17215275400577712, 'zscore_20d': -1.7040292168457514, 'zscore_60d': -1.3718913315862835, 'mean_reversion_score': -1.5379602742160174, 'mean_reversion_rank': 0.11363636363636363}",0.40671858654779824,3,0.10236773964388018
WBD,0.49563886456613426,5,94.31818181818183,100.0,50.0,50.0,0.49563886456613426,49.48024754290097,0.012524095665476853,0.27393942168264673,0.0420120681765357,Communication Services,"{'return_1m': 0.012524095665476853, 'return_3m': 0.27393942168264673, 'return_6m': 0.480281742260916, 'return_12m': -0.10094092334114302, 'vol_20d': 0.0420120681765357, 'vol_60d': 0.034642609197982385, 'dollar_volume_20d': 329279135.45548916, 'volume_ratio': 0.5991349020429502, 'turnover_20d': 0.5679537391692389, 'rsi': 49.48024754290097, 'macd': 0.20898768390014055, 'macd_signal': 0.3676127954852652, 'macd_histogram': -0.15862511158512466, 'bb_upper': 11.998193028587501, 'bb_middle': 10.871000003814697, 'bb_lower': 9.743806979041892, 'bb_width': 0.20737614283456274, 'bb_pct': 0.3398678101270085, 'atr': 0.5342856134687148, 'adx': 45.184857530072065, 'plus_di': 24.19785838877203, 'minus_di': 23.529419264505258, 'momentum_score': 0.7471590909090908, 'distance_52w_high': -0.15852678771178785, 'distance_52w_low': 0.566318952180553, 'relative_strength': 0.2452867144591473, 'zscore_20d': -0.6405287594919654, 'zscore_60d': 0.8194024828337352, 'mean_reversion_score': 0.08943686167088488, 'mean_reversion_rank': 0.8181818181818182}",0.3982555458264537,1,0.10023766155595308
XEL,0.4859991128034469,6,93.18181818181819,100.0,50.0,50.0,0.4859991128034469,37.97480923418413,-0.07309389703684399,0.03506879337220736,0.00918549161722901,Utilities,"{'return_1m': -0.07309389703684399, 'return_3m': 0.03506879337220736, 'return_6m': 0.30030023054453814, 'return_12m': 0.12473694002784508, 'vol_20d': 0.00918549161722901, 'vol_60d': 0.012213890688662783, 'dollar_volume_20d': 234715475.54237366, 'volume_ratio': 0.7386982989451559, 'turnover_20d': 0.727466177960802, 'rsi': 37.97480923418413, 'macd': -0.28065771022886565, 'macd_signal': -0.13148715203707356, 'macd_histogram': -0.1491705581917921, 'bb_upper': 68.63396279405772, 'bb_middle': 65.92369003295899, 'bb_lower': 63.21341727186025, 'bb_width': 0.08222454658541464, 'bb_pct': 0.3141318881737092, 'atr': 1.0894145606325492, 'adx': 62.5780548483099, 'plus_di': 6.675033039466753, 'minus_di': 21.347493618223652, 'momentum_score': 0.5909090909090908, 'distance_52w_high': -0.07309389703684399, 'distance_52w_low': 0.4370349503049058, 'relative_strength': 0.006416086148707922, 'zscore_20d': -0.7434724473051629, 'zscore_60d': 0.13930999017404655, 'mean_reversion_score': -0.3020812285655582, 'mean_reversion_rank': 0.6704545454545454}",0.39439964512137876,1,0.0992671629052272
CSCO,0.41990479958182064,7,92.04545454545455,100.0,50.0,50.0,0.41990479958182064,52.17391920774392,-0.0016866000729682806,0.12067541490515743,0.008272943898445717,Technology,"{'return_1m': -0.0016866000729682806, 'return_3m': 0.12067541490515743, 'return_6m': 0.2658527539119413, 'return_12m': 0.21071035830032803, 'vol_20d': 0.008272943898445717, 'vol_60d': 0.010375768653667145, 'dollar_volume_20d': 1142852637.096901, 'volume_ratio': 0.6497025105027654, 'turnover_20d': 0.644422159690043, 'rsi': 52.17391920774392, 'macd': 0.38722667079645134, 'macd_signal': 0.38851873192116765, 'macd_histogram': -0.0012920611247163039, 'bb_upper': 58.95122254736733, 'bb_middle': 57.532844352722165, 'bb_lower': 56.114466158077, 'bb_width': 0.04930672942048116, 'bb_pct': 0.5596244546884502, 'atr': 0.9107972368500745, 'adx': 13.421020089662507, 'plus_di': 25.84098209247372, 'minus_di': 25.458706203114996, 'momentum_score': 0.7528409090909092, 'distance_52w_high': -0.013828682090588962, 'distance_52w_low': 0.333087830086489, 'relative_strength': 0.09202270768165799, 'zscore_20d': 0.23849781875380135, 'zscore_60d': 0.9214023758236586, 'mean_reversion_score': 0.5799500972887299, 'mean_reversion_rank': 0.8863636363636364}",0.3679619198327283,2,0.09261300381676142
GILD,0.41253923754758215,8,90.9090909090909,100.0,50.0,50.0,0.41253923754758215,59.71448506994258,0.004040312061687867,0.10667194284372106,0.013273075314317938,Healthcare,"{'return_1m': 0.004040312061687867, 'return_3m': 0.10667194284372106, 'return_6m': 0.36437215417841884, 'return_12m': 0.18030585260904308, 'vol_20d': 0.013273075314317938, 'vol_60d': 0.015144617154445993, 'dollar_volume_20d': 624500149.2897415, 'volume_ratio': 0.5178073298714438, 'turnover_20d': 0.627692926719584, 'rsi': 59.71448506994258, 'macd': 0.837849994768689, 'macd_signal': 0.8049848667927493, 'macd_histogram': 0.03286512797593977, 'bb_upper': 92.01900753914956, 'bb_middle': 89.6594799041748, 'bb_lower': 87.29995226920005, 'bb_width': 0.05263308771133943, 'bb_pct': 0.4678331582915626, 'atr': 1.9583181092145046, 'adx': 16.00459690376877, 'plus_di': 24.94124148805914, 'minus_di': 18.960705118608143, 'momentum_score': 0.7698863636363636, 'distance_52w_high': -0.05226392088099452, 'distance_52w_low': 0.4945444187411965, 'relative_strength': 0.07801923562022162, 'zscore_20d': -0.12866736683374988, 'zscore_60d': 0.7013692699072497, 'mean_reversion_score': 0.2863509515367499, 'mean_reversion_rank': 0.875}",0.36501569501903286,1,0.09187146314309645
NET,0.4071025522339224,9,89.77272727272727,100.0,50.0,50.0,0.4071025522339224,42.04470242482777,0.09721239575035745,0.34787983189488725,0.028614370873105054,Technology,"{'return_1m': 0.09721239575035745, 'return_3m': 0.34787983189488725, 'return_6m': 0.29874928818064506, 'return_12m': 0.28755312218194207, 'vol_20d': 0.028614370873105054, 'vol_60d': 0.0294058550063403, 'dollar_volume_20d': 294946105.402565, 'volume_ratio': 0.547389493762925, 'turnover_20d': 0.48653021120101875, 'rsi': 42.04470242482777, 'macd': 2.972821218494502, 'macd_signal': 4.046399814470601, 'macd_histogram': -1.073578595976099, 'bb_upper': 117.90084466443797, 'bb_middle': 111.5580005645752, 'bb_lower': 105.21515646471242, 'bb_width': 0.11371383617065146, 'bb_pct': 0.3007201702046395, 'atr': 4.051428113664903, 'adx': 30.878860897412473, 'plus_di': 15.76162874140666, 'minus_di': 27.732731195766497, 'momentum_score': 0.8806818181818181, 'distance_52w_high': -0.07255868455632963, 'distance_52w_low': 0.6169360564414526, 'relative_strength': 0.3192271246713878, 'zscore_20d': -0.7971193191814425, 'zscore_60d': 0.9993416494868504, 'mean_reversion_score': 0.10111116515270396, 'mean_reversion_rank': 0.8295454545454546}",0.36284102089356896,3,0.09132411546327851
DXCM,0.3849732226716476,10,88.63636363636364,100.0,50.0,50.0,0.3849732226716476,48.91705277140988,-0.0012803902186275806,0.1634844709844594,0.0210816933928361,Healthcare,"{'return_1m': -0.0012803902186275806, 'return_3m': 0.1634844709844594, 'return_6m': -0.3046268942385114, 'return_12m': -0.37177836904491246, 'vol_20d': 0.0210816933928361, 'vol_60d': 0.021492296425845735, 'dollar_volume_20d': 259256549.21440125, 'volume_ratio': 0.8369167536871609, 'turnover_20d': 0.6363847868744216, 'rsi': 48.91705277140988, 'macd': 1.0398795363892788, 'macd_signal': 1.1505310418333727, 'macd_histogram': -0.11065150544409397, 'bb_upper': 82.20741704296496, 'bb_middle': 78.81000099182128, 'bb_lower': 75.4125849406776, 'bb_width': 0.08621789134341605, 'bb_pct': 0.3807916105022505, 'atr': 2.475713457380022, 'adx': 13.852901364736441, 'plus_di': 25.3318215416665, 'minus_di': 22.706305192612565, 'momentum_score': 0.42329545454545453, 'distance_52w_high': -0.44464220936406207, 'distance_52w_low': 0.21875, 'relative_strength': 0.13483176376095996, 'zscore_20d': -0.47683355799099786, 'zscore_60d': 0.8765084349714356, 'mean_reversion_score': 0.19983743849021887, 'mean_reversion_rank': 0.8409090909090909}",0.35398928906865906,2,0.08909620700563703
