step,feature_added,sharpe_ratio,mean_rank_ic,excess_return,max_drawdown,hit_rate,turnover,marginal_sharpe,marginal_rank_ic,duration_seconds,ic_std,ic_ir,ic_pct_positive,sortino_ratio,calmar_ratio,train_test_sharpe_ratio,volatility,total_return,annualized_return
0,BASELINE,-0.3530588166069905,0.3405259602002804,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,,,2074.2044410705566,0.09933354691150774,3.859215846257417,1.0,-0.43599305220904094,-0.9254528708327685,67.6775972121272,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
1,valuation,-0.3530588166069905,0.3405259602002804,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,0.0,0.0,2083.9451179504395,0.09933354691150774,3.859215846257417,1.0,-0.43599305220904094,-0.9254528708327685,67.6775972121272,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
2,rsi,-0.3530588166069905,0.3389458826684506,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,0.0,-0.0015800775318298155,2139.1860620975494,0.09866560563324599,3.874334881623869,1.0,-0.43599305220904094,-0.9254528708327685,67.67759721209923,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
3,macd,-0.3530588166069905,0.35257897353541195,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,0.0,0.01363309086696135,2016.3417501449585,0.08951016852736199,4.3268424118840425,1.0,-0.43599305220904094,-0.9254528708327685,67.6775972121272,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
4,bollinger,-0.3530588166069905,0.18448918870769232,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,0.0,-0.16808978482771963,2034.1228728294373,0.1021415324972396,2.443361746779866,0.986013986013986,-0.43599305220904094,-0.9254528708327685,67.67759721204358,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
5,atr,-0.3530588166069905,0.21270558672714834,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,0.0,0.028216398019456024,2023.308629989624,0.09676300407275101,2.783542819518877,1.0,-0.43599305220904094,-0.9254528708327685,67.67759721207128,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
6,adx,-0.3530588166069905,0.21167064293348378,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,0.0,-0.0010349437936645611,2026.9904787540436,0.097802498227863,2.740415187533959,0.993006993006993,-0.43599305220904094,-0.9254528708327685,67.67759721207128,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
7,obv,-0.3530588166069905,0.1586362823591147,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,0.0,-0.05303436057436908,2037.4280161857605,0.1448456358786786,1.528941310393813,0.9440559440559441,-0.43599305220904094,-0.9254528708327685,67.67759721212745,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
8,gap,-0.3530588166069905,0.1607325986161601,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,0.0,0.0020963162570453997,2079.6692728996277,0.14119607485976737,1.5633533354974294,0.958041958041958,-0.43599305220904094,-0.9254528708327685,67.67759721215515,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
9,momentum,-0.35305881660699046,0.13035192131285334,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,5.551115123125783e-17,-0.030380677303306763,2086.852490901947,0.14798671225623847,1.3563540153398326,0.972027972027972,-0.43599305220904094,-0.9254528708327685,67.67759721209923,2.621077084446419,-0.9988605865291694,-0.9253943736703534
10,mean_reversion,-0.3530588166069905,0.12981322705755005,-0.9173039620699175,-0.9999367907710282,0.5592705167173252,0.0,-5.551115123125783e-17,-0.0005386942553032847,2115.729835987091,0.14757142754454294,1.3557192372925508,0.951048951048951,-0.43599305220904094,-0.9254528708327685,67.6775972121272,2.6210770844464184,-0.9988605865291694,-0.9253943736703534
