ticker,sector,model_score,value_score,quality_score,domain_score,domain_rank
XPEV,Consumer Cyclical,0.20105392250265344,30.0,30.0,15.3985164220263,1
JD,Consumer Cyclical,0.11272319524300843,30.0,30.0,15.355234365669075,2
LCID,Consumer Cyclical,0.04081368183824646,30.0,30.0,15.31999870410074,3
CHPT,Consumer Cyclical,0.03488028844079059,30.0,30.0,15.317091341335988,4
GM,Consumer Cyclical,0.03470810605867396,30.0,30.0,15.317006971968752,5
LI,Consumer Cyclical,0.03410245088139804,30.0,30.0,15.316710200931887,6
F,Consumer Cyclical,0.027367015082464266,30.0,30.0,15.31340983739041,7
AMZN,Consumer Cyclical,0.012371802808306904,30.0,30.0,15.30606218337607,8
