ticker,sector,model_score,value_score,quality_score,domain_score,domain_rank
VST,Utilities,0.06416805517397389,30.0,30.0,15.331442347035248,1
CEG,Utilities,0.041203472689163766,30.0,30.0,15.320189701617691,2
NEE,Utilities,0.015506060448721612,30.0,30.0,15.307597969619874,3
BEP,Utilities,0.00961876286684064,30.0,30.0,15.304713193804751,4
XEL,Utilities,-0.000654002782144431,30.0,30.0,15.299679538636749,5
ED,Utilities,-0.001206849832071455,30.0,30.0,15.299408643582286,6
DUK,Utilities,-0.0020732478896893407,30.0,30.0,15.298984108534054,7
AEP,Utilities,-0.002570596010130456,30.0,30.0,15.298740407955037,8
