ticker,sector,model_score,value_score,quality_score,domain_score,domain_rank
EQIX,Real Estate,0.08791432786531769,30.0,30.0,15.343078020654007,1
PLD,Real Estate,0.010403894287282054,30.0,30.0,15.305097908200768,2
WELL,Real Estate,0.009607563095189117,30.0,30.0,15.304707705916643,3
AMT,Real Estate,0.0051267467815995565,30.0,30.0,15.302512105922984,4
DLR,Real Estate,0.004473036871015964,30.0,30.0,15.302191788066798,5
AVB,Real Estate,-0.0006858295456695959,30.0,30.0,15.299663943522622,6
EQR,Real Estate,-0.0020911160061158744,30.0,30.0,15.298975353157005,7
CCI,Real Estate,-0.0035114071113228795,30.0,30.0,15.298279410515452,8
