ticker,sector,model_score,value_score,quality_score,domain_score,domain_rank
K,Consumer Defensive,0.4076141820506447,30.0,30.0,15.499730949204817,1
DLTR,Consumer Defensive,0.08710061955997053,30.0,30.0,15.342679303584386,2
COST,Consumer Defensive,0.03508448506223279,30.0,30.0,15.317191397680496,3
HSY,Consumer Defensive,0.018810353555213422,30.0,30.0,15.309217073242056,4
PM,Consumer Defensive,0.008094966438633798,30.0,30.0,15.30396653355493,5
STZ,Consumer Defensive,0.005173526150764707,30.0,30.0,15.302535027813875,6
CL,Consumer Defensive,0.00244269875993837,30.0,30.0,15.301196922392371,7
PEP,Consumer Defensive,0.00047735357630262045,30.0,30.0,15.300233903252389,8
