date,ticker,pe,pb,roe,net_margin,gross_margin,operating_margin,debt_to_equity,current_ratio,revenue_growth,market_cap
2026-01-09,CEG,36.903893,7.018911,0.19839,0.11026,0.20131999,0.16332,61.51,1.563,0.003,116853047296.0
2026-01-09,CHPT,-2.0482967,4.331485,-2.13875,-0.58095,0.29931,-0.41955003,882.477,1.586,0.061,166281216.0
2026-01-09,CHTR,5.813973,1.7691225,0.31327,0.092939995,0.55237,0.23858999,497.907,0.375,-0.009,28644497408.0
2026-01-09,CI,12.562389,1.8105582,0.15538,0.02293,0.09551,0.04,81.021,0.828,0.095,75839692800.0
2026-01-09,CL,22.652662,76.14877,2.93635,0.1447,0.60148,0.2023,680.048,0.93,0.019,65360818176.0
2026-01-09,CMCSA,4.6860466,1.0619235,0.24186,0.18333,0.71882004,0.17735,101.462,0.882,-0.027,111180251136.0
2026-01-09,CME,25.837212,3.4036689,0.13346,0.58946997,1.0,0.63386,13.372,1.021,-0.03,96150331392.0
2026-01-09,CMG,34.672565,16.123457,0.44958,0.13036,0.40191,0.16134001,154.574,1.542,0.075,52535873536.0
2026-01-09,CMS,20.129683,2.4601133,0.11233,0.12622,0.42327,0.26174998,191.676,0.899,0.16,21256736768.0
2026-01-09,COF,87.86254,1.4994048,0.01615,0.04899,0.0,0.38719,,,0.679,163511779328.0
2026-01-09,COIN,21.226448,4.118979,0.26005,0.43664002,0.84822,0.25254,48.559,2.404,0.589,66225209344.0
2026-01-09,COP,13.943503,1.878985,0.15421,0.14445,0.47415,0.19543,36.169,1.323,0.14,123295588352.0
2026-01-09,COST,49.02571,13.408777,0.30325,0.02961,0.12876001,0.03659,26.968,1.038,0.083,406358917120.0
2026-01-09,CPRT,23.95092,3.9362774,0.18124,0.34243,0.47624,0.37289003,1.039,7.939,0.007,37791412224.0
2026-01-09,CRM,34.830215,4.088862,0.12184,0.17913,0.77729,0.23862,19.385,0.984,0.086,248024563712.0
2026-01-09,CRWD,95.95808,29.111961,-0.088149995,-0.06882,0.74277,-0.05589,20.154,1.811,0.222,116940898304.0
2026-01-09,CSCO,28.555984,6.2135596,0.22418,0.17902,0.64847,0.23604,63.228,0.927,0.075,292222959616.0
2026-01-09,CSX,22.935066,5.156957,0.22589001,0.20548001,0.46293,0.35071,155.283,0.847,-0.009,65846263808.0
2026-01-09,CTAS,41.18182,17.075928,0.43396,0.17584999,0.50249,0.23417999,72.656,1.705,0.093,76664881152.0
2026-01-09,CVS,212.10526,1.4035943,0.0057800002,0.0011999999,0.13352,0.022650002,111.821,0.832,0.078,102316253184.0
2026-01-09,CVX,22.429577,1.6890459,0.07316,0.06767,0.40602002,0.098529994,21.239,1.152,-0.014,320860454912.0
2026-01-09,D,18.88889,1.8487127,0.09204,0.16790001,0.49029,0.34504002,154.315,0.845,0.149,49356185600.0
2026-01-09,DD,25.086706,0.7940428,0.03217,-0.060110003,0.37117,0.17773001,39.673,2.002,0.073,18183530496.0
2026-01-09,DDOG,421.54837,13.319742,0.03519,0.033239998,0.79959,-0.00656,37.199,3.663,0.284,45825650688.0
2026-01-09,DE,27.099567,5.2174273,0.20427999,0.11017,0.26957,0.12385,248.418,2.262,0.126,135439073280.0
2026-01-09,DHI,12.610199,1.7760626,0.14321,0.10468,0.22516,0.124680005,24.514,6.421,-0.032,42611630080.0
2026-01-09,DHR,48.35391,3.2499862,0.06843,0.14435,0.59593,0.2075,35.544,1.519,0.044,168272117760.0
2026-01-09,DIA,23.86233,1.375037,,,,,,,,40014565376.0
2026-01-09,DIS,16.667152,1.8611133,0.12203,0.13136,0.37764,0.11868,39.632,0.71,-0.005,205270106112.0
2026-01-09,DLR,39.722076,2.3532398,0.05825,0.23959999,0.54806,0.13333,79.248,1.304,0.111,53480312832.0
2026-01-09,DLTR,24.926136,7.6233783,0.20066999,-0.15397,0.35939997,0.06725,221.055,0.959,0.094,26844207104.0
2026-01-09,DNN,-69.663284,10.278825,-0.39583,0.0,-0.03083,-21.151201,148.551,11.973,0.504,2987977472.0
2026-01-09,DOW,-89.88452,1.0502856,-0.05287,-0.02769,0.07218,0.01905,102.943,1.944,-0.083,18423089152.0
2026-01-09,DTE,19.40569,2.2143455,0.11658,0.093439996,0.31271,0.18968001,207.975,1.152,0.214,26921949184.0
2026-01-09,DUK,18.475592,1.8078154,0.09905,0.15972,0.52401,0.27125,170.344,0.629,0.048,91235213312.0
2026-01-09,DVN,8.511793,1.478856,0.18586999,0.16424999,0.49348,0.24194999,56.274,0.957,0.071,22909931520.0
2026-01-09,DXCM,38.016666,9.7897,0.30635,0.15958999,0.59014,0.20053,94.479,1.565,0.216,26835185664.0
2026-01-09,EA,59.539356,8.486889,0.13201,0.121429995,0.78787005,0.10875,36.65,0.838,-0.092,51076673536.0
2026-01-09,EBAY,20.150774,8.7435055,0.42430001,0.20366,0.71645,0.21418,151.155,0.925,0.095,41532157952.0
2026-01-09,ECL,39.043102,11.584107,0.21869,0.12489,0.44358003,0.14715,103.915,1.697,0.178,77072228352.0
2026-01-09,ED,17.513987,1.4964076,0.08839,0.122700006,0.53414,0.25342,110.373,1.075,0.107,36158529536.0
2026-01-09,EGO,20.835163,1.8566391,0.0963,0.22147,0.60330003,0.39688,31.149,2.794,0.31,7656433664.0
2026-01-09,ELV,15.26558,1.8932176,0.12569,0.028399998,0.26261,0.034649998,72.823,1.56,0.123,84390068224.0
2026-01-09,EMR,35.69479,3.9916203,0.09363,0.12728,0.52836,0.20721,67.785,0.876,0.051,80887160832.0
2026-01-09,ENPH,24.267122,4.65939,0.20305,0.12932,0.31934,0.16433,123.979,2.042,0.078,4636359680.0
2026-01-09,EOG,10.483615,1.8955703,0.18476999,0.24410999,0.62289,0.33223,26.835,1.624,-0.024,57640525824.0
2026-01-09,EQIX,71.930084,5.422793,0.077,0.118,0.50353,0.21851999,147.969,1.34,0.066,76769730560.0
2026-01-09,EQR,20.680922,2.1616697,0.10444,0.37583,0.6301,0.28955,76.237,0.165,0.046,24743235584.0
2026-01-09,ES,18.67956,1.5824578,0.0861,0.102189995,0.54386,0.22489001,184.357,0.715,0.051,25370292224.0
2026-01-09,ETN,32.058,6.6079893,0.20653,0.14741,0.38265,0.19791001,59.661,1.28,0.101,124801785856.0
2026-01-09,EW,37.096493,4.812792,0.13492,0.23249,0.78188,0.27371,6.862,4.004,0.147,49656922112.0
2026-01-09,EXC,15.573477,1.5614332,0.10308,0.116009995,0.42286998,0.22177,177.601,0.939,0.09,43883945984.0
2026-01-09,F,12.307693,1.2106944,0.10295,0.024820002,0.07555,0.03146,346.673,1.121,0.094,57376780288.0
2026-01-09,FANG,10.37667,1.0837114,0.10901,0.28689,0.74942,0.36628,35.66,0.623,0.42,42745520128.0
2026-01-09,FAST,39.06542,12.323113,0.32742,0.15336001,0.45147,0.20696,13.283,4.259,0.117,47987892224.0
2026-01-09,FCX,37.916084,4.164043,0.14538999,0.07969,0.3872,0.28055,30.589,2.455,0.027,77856161792.0
2026-01-09,FDX,17.09126,2.5805671,0.15886,0.04814,0.27618,0.0764,,1.274,0.139,72912601088.0
2026-01-09,FNV,47.179916,6.2113037,0.14166,0.60063,0.90166,0.70044,,4.641,0.773,43645550592.0
2026-01-09,FSLR,18.899464,2.931213,0.16864,0.27728,0.40048,0.29225,9.893,1.91,0.797,26425702400.0
2026-01-09,FTNT,32.119343,78.83839,2.28043,0.28584,0.80866,0.31648,148.116,1.027,0.144,59807068160.0
2026-01-09,GD,22.77641,3.8793712,0.17782,0.081829995,0.15326999,0.10459,40.419,1.4,0.106,94931132416.0
2026-01-09,GDX,25.810713,,,,,,,,,
2026-01-09,GDXJ,27.10375,,,,,,,,,
2026-01-09,GE,42.037434,17.63149,0.42131,0.18344,0.32459998,0.20598,115.246,1.077,0.238,333444546560.0
2026-01-09,GEHC,18.252588,4.018598,0.24450001,0.10945,0.40803,0.14213,105.127,1.181,0.058,40250511360.0
2026-01-09,GFS,20.599617,1.8460882,-0.0035100002,-0.00648,0.24017,0.11552,14.134,3.031,-0.029,21621575680.0
2026-01-09,GILD,18.679565,6.95785,0.40706003,0.27882,0.78716004,0.45231,116.243,1.453,0.03,149728165888.0
2026-01-09,GIS,9.445161,2.5154638,0.27173,0.1351,0.33830002,0.17874001,147.23,0.657,-0.072,23434924032.0
2026-01-09,GLD,,2.4202874,,,,,,,,107110842368.0
2026-01-09,GLDM,,,,,,,,,,
2026-01-09,GM,16.246183,1.1966544,0.04442,0.01625,0.100760005,0.056739997,195.437,1.229,-0.003,81050386432.0
2026-01-09,GOLD,126.899994,1.4568902,0.0094800005,0.00062,0.02012,0.00084,108.391,1.368,0.356,938211840.0
2026-01-09,GOOG,32.150887,10.177318,0.3545,0.32233003,0.59172,0.30512,11.424,1.747,0.159,3935538511872.0
